nodes;vals;max;min;mean;stddev;ci+;ci-
100;0;132,725;97,729;112,553;9,962;108,988;116,117
100;1000;186,264;141,1;150,454;8,935;147,256;153,651
100;2000;206,081;178,574;189,658;7,074;187,126;192,189
100;3000;242,024;214,039;225,21;7,574;222,499;227,92
100;4000;275,589;249,023;261,664;7,633;258,932;264,395
100;5000;304,117;281,684;290,432;5,208;288,568;292,295
100;6000;339,322;318,145;327,627;5,618;325,616;329,637
100;7000;389,223;353,109;366,464;8,464;363,435;369,492
100;8000;404,929;382,119;393,607;5,527;391,629;395,584
100;9000;451,803;421,08;434,294;7,08;431,76;436,827
100;10000;489,461;450,81;467,111;7,727;464,345;469,876
