nodes;vals;max;min;mean;stddev;ci+;ci-
100;0;618,769;558,708;582,061;14,608;576,833;587,288
100;1000;5290,015;5101,31;5175,795;60,526;5154,136;5197,453
100;2000;9977,995;9735,436;9847,665;87,754;9816,262;9879,067
100;3000;14454,283;13942,394;14193,822;168,169;14133,643;14254,0
100;4000;19367,38;18796,54;19023,629;179,8;18959,288;19087,969
100;5000;24084,578;23355,061;23632,123;208,662;23557,454;23706,791
100;6000;28763,993;27721,949;28198,131;389,425;28058,777;28337,484
100;7000;33099,87;32229,661;32614,549;281,736;32513,731;32715,366
100;8000;38316,94;37080,062;37580,801;400,312;37437,551;37724,05
100;9000;42894,793;41180,265;42019,505;633,901;41792,666;42246,343
100;10000;46973,195;45887,609;46454,508;353,995;46327,832;46581,183
